Abb,Lat,Lon,Pop
AL ,32.31823,-86.902298,5024356
AK ,66.160507,-153.369141,733378
AZ ,34.048927,-111.093735,7151507
AR ,34.799999,-92.199997,3011555
CA ,36.778259,-119.417931,39538245
CO ,39.113014,-105.358887,5773733
CT ,41.599998,-72.699997,3605942
DE ,39,-75.5,989957
FL ,27.994402,-81.760254,21538226
GA ,33.247875,-83.441162,10711937
HI ,19.741755,-155.844437,1455273
ID ,44.068203,-114.742043,1839092
IL ,40,-89,12812545
IN ,40.273502,-86.126976,6785668
IA ,42.032974,-93.581543,3190372
KS ,38.5,-98,2937847
KY ,37.839333,-84.27002,4505893
LA ,30.39183,-92.329102,4657749
ME ,45.367584,-68.972168,1362341
MD ,39.045753,-76.641273,6177213
MA ,42.407211,-71.382439,7029949
MI ,44.182205,-84.506836,10077325
MN ,46.39241,-94.63623,5706504
MS ,33,-90,2961288
MO ,38.573936,-92.60376,6154920
MT ,46.96526,-109.533691,1084197
NE ,41.5,-100,1961489
NV ,39.876019,-117.224121,3104624
NH ,44,-71.5,1377518
NJ ,39.833851,-74.871826,9289031
NM ,34.307144,-106.018066,2117527
NY ,43,-75,20201230
NC ,35.782169,-80.793457,10439414
ND ,47.650589,-100.437012,779091
OH ,40.367474,-82.996216,11799374
OK ,36.084621,-96.921387,3959346
OR ,44,-120.5,4237291
PA ,41.203323,-77.194527,13002689
RI ,41.742325,-71.742332,1097371
SC ,33.836082,-81.163727,5118429
SD ,44.5,-100,886677
TN ,35.860119,-86.660156,6910786
TX ,31,-100,29145428
UT ,39.41922,-111.950684,3271614
VT ,44,-72.699997,643085
VA ,37.926868,-78.024902,8631384
WA ,47.751076,-120.740135,7705247
WV ,39,-80.5,1793755
WI ,44.5,-89.5,5893725
WY ,43.07597,-107.290283,576837
